CID,IUPAC name,InChI,temp,group,pKa
C645921,"4,6-diamino-1H-1,3,5-triazin-2-one","InChI=1S/C3H5N5O/c4-1-6-2(5)8-3(9)7-1/h(H5,4,5,6,7,8,9)",,H10,4.5
C6973600,1-methylpyrrole-2-carboxylic acid,"InChI=1S/C6H7NO2/c1-7-4-2-3-5(7)6(8)9/h2-4H,1H3,(H,8,9)",25,H16,4.51
C2215772,4-phenoxybenzoic acid,"InChI=1S/C13H10O3/c14-13(15)10-6-8-12(9-7-10)16-11-4-2-1-3-5-11/h1-9H,(H,14,15)",25,H26,4.52
C2338105,"4,5,6,7-tetrachloro-2H-benzotriazole","InChI=1S/C6HCl4N3/c7-1-2(8)4(10)6-5(3(1)9)11-13-12-6/h(H,11,12,13)",,H14,4.52
C6158776,N-(2H-tetrazol-5-yl)acetamide,"InChI=1S/C3H5N5O/c1-2(9)4-3-5-7-8-6-3/h1H3,(H2,4,5,6,7,8,9)",,H14,4.53
C14668747,2-(hydroxymethyl)cyclopentene-1-carboxylic acid,"InChI=1S/C7H10O3/c8-4-5-2-1-3-6(5)7(9)10/h8H,1-4H2,(H,9,10)",25,H20,4.54
C6680042,4-methoxy-2-methylbenzoic acid,"InChI=1S/C9H10O3/c1-6-5-7(12-2)3-4-8(6)9(10)11/h3-5H,1-2H3,(H,10,11)",20,H22,4.54
C46047181,4-(2H-tetrazol-5-yl)aniline,"InChI=1S/C7H7N5/c8-6-3-1-5(2-4-6)7-9-11-12-10-7/h1-4H,8H2,(H,9,10,11,12)",20,H19,4.55
C119675,2-formylbenzoic acid,"InChI=1S/C8H6O3/c9-5-6-3-1-2-4-7(6)8(10)11/h1-5H,(H,10,11)",20,H17,4.56
C77169110,3-methyl-1-phenylpyrazole-4-carboxylic acid,"InChI=1S/C11H10N2O2/c1-8-10(11(14)15)7-13(12-8)9-5-3-2-4-6-9/h2-7H,1H3,(H,14,15)",,H25,4.58
C88550214,"3-(methoxymethyl)bicyclo[2.2.1]hepta-2,5-diene-2-carboxylic acid","InChI=1S/C10H12O3/c1-13-5-8-6-2-3-7(4-6)9(8)10(11)12/h2-3,6-7H,4-5H2,1H3,(H,11,12)",25,H22,4.59
C116822265,"N,N-dimethyl-2-(2H-tetrazol-5-yl)ethanamine","InChI=1S/C5H11N5/c1-10(2)4-3-5-6-8-9-7-5/h3-4H2,1-2H3,(H,6,7,8,9)",25,H21,4.59
C2592952,1-hydroxybenzotriazole,"InChI=1S/C6H5N3O/c10-9-6-4-2-1-3-5(6)7-8-9/h1-4,10H",25,H15,4.6
C18711596,4-methyl-1H-pyrrole-2-carboxylic acid,"InChI=1S/C6H7NO2/c1-4-2-5(6(8)9)7-3-4/h2-3,7H,1H3,(H,8,9)",,H16,4.6
C1849361,4-nitrobenzenethiol,"InChI=1S/C6H5NO2S/c8-7(9)5-1-3-6(10)4-2-5/h1-4,10H",25,H15,4.64
C636442,"2,5-dimethylfuran-3-carboxylic acid","InChI=1S/C7H8O3/c1-4-3-6(7(8)9)5(2)10-4/h3H,1-2H3,(H,8,9)",20,H18,4.64
C619863,4-ethoxybenzoic acid,"InChI=1S/C9H10O3/c1-2-12-8-5-3-7(4-6-8)9(10)11/h3-6H,2H2,1H3,(H,10,11)",20,H22,4.64
C120343,"N-(4-aminophenyl)sulfonyl-3,4-dimethylbenzamide","InChI=1S/C15H16N2O3S/c1-10-3-4-12(9-11(10)2)15(18)17-21(19,20)14-7-5-13(16)6-8-14/h3-9H,16H2,1-2H3,(H,17,18)",25,H23,4.66
C25087267,2-methylprop-2-enoic acid,"InChI=1S/C4H6O2/c1-3(2)4(5)6/h1H2,2H3,(H,5,6)",18,H12,4.66
C646068680,2-phenylbenzeneseleninic acid,"InChI=1S/C12H10O2Se/c13-15(14)12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,(H,13,14)",25,H25,4.67
C499763,4-hydroxy-3-methylbenzoic acid,"InChI=1S/C8H8O3/c1-5-4-6(8(10)11)2-3-7(5)9/h2-4,9H,1H3,(H,10,11)",20,H19,4.68
C52196982,"ethyl 3-oxo-4,5,7,8-tetrahydro-1H-[1,2]oxazolo[3,4-d]azepine-6-carboxylate","InChI=1S/C10H14N2O4/c1-2-15-10(14)12-5-3-7-8(4-6-12)11-16-9(7)13/h13H,2-6H2,1H3",25,H25,4.7
C10321718,4-methylpent-2-enoic acid,"InChI=1S/C6H10O2/c1-5(2)3-4-6(7)8/h3-5H,1-2H3,(H,7,8)",25,H18,4.7
C578392,4-hydroxy-2-methylbenzoic acid,"InChI=1S/C8H8O3/c1-5-4-6(9)2-3-7(5)8(10)11/h2-4,9H,1H3,(H,10,11)",20,H19,4.71
C645556,N-phenylnitramide,"InChI=1S/C6H6N2O2/c9-8(10)7-6-4-2-1-3-5-6/h1-5,7H",15,H16,4.74
C16806294,"4-amino-N-(1,3,4-thiadiazol-2-yl)benzenesulfonamide","InChI=1S/C8H8N4O2S2/c9-6-1-3-7(4-2-6)16(13,14)12-8-11-10-5-15-8/h1-5H,9H2,(H,11,12)",,H19,4.77
C97858178,but-2-enoic acid,"InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3H,1H3,(H,5,6)",27,H12,4.79
C12542324,"but-1-ene-1,1-diol","InChI=1S/C4H8O2/c1-2-3-4(5)6/h3,5-6H,2H2,1H3",23,H14,4.8
C4380885,2-methylidenehexanoic acid,"InChI=1S/C7H12O2/c1-3-4-5-6(2)7(8)9/h2-5H2,1H3,(H,8,9)",25,H21,4.8
C33834525,3-methylbenzeneseleninic acid,"InChI=1S/C7H8O2Se/c1-6-3-2-4-7(5-6)10(8)9/h2-5H,1H3,(H,8,9)",25,H18,4.8
C51449811,5-(2-methoxyphenyl)-2H-tetrazole,"InChI=1S/C8H8N4O/c1-13-7-5-3-2-4-6(7)8-9-11-12-10-8/h2-5H,1H3,(H,9,10,11,12)",20,H21,4.8
C1888331,N-(4-methylphenyl)sulfonylacetamide,"InChI=1S/C9H11NO3S/c1-7-3-5-9(6-4-7)14(12,13)10-8(2)11/h3-6H,1-2H3,(H,10,11)",22.5,H19,4.8
C34646645,"3,4,6-trichloro-2-(morpholin-4-ylmethyl)phenol","InChI=1S/C11H12Cl3NO2/c12-8-5-9(13)11(16)7(10(8)14)6-15-1-3-17-4-2-15/h5,16H,1-4,6H2",25,H29,4.84
C25136770,4-aminobenzoic acid,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)",25,H17,4.84
C37234870,"hex-1-ene-1,1-diol","InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h5,7-8H,2-4H2,1H3",18,H20,4.85
C456644,"1,1,1-trifluoro-N-phenylmethanesulfonamide","InChI=1S/C7H6F3NO2S/c8-7(9,10)14(12,13)11-6-4-2-1-3-5-6/h1-5,11H",25,H15,4.85
C20753520,4-methylbenzeneseleninic acid,"InChI=1S/C7H8O2Se/c1-6-2-4-7(5-3-6)10(8)9/h2-5H,1H3,(H,8,9)",25,H18,4.88
C18720304,bicyclo[2.2.1]heptane-1-carboxylic acid,"InChI=1S/C8H12O2/c9-7(10)8-3-1-6(5-8)2-4-8/h6H,1-5H2,(H,9,10)",25,H22,4.89
C15451419,"3-benzyl-4-hydroxynaphthalene-1,2-dione","InChI=1S/C17H12O3/c18-15-12-8-4-5-9-13(12)16(19)17(20)14(15)10-11-6-2-1-3-7-11/h1-9,20H,10H2",,H31,4.9
C828513,adamantane-1-carboxylic acid,"InChI=1S/C11H16O2/c12-10(13)11-4-7-1-8(5-11)3-9(2-7)6-11/h7-9H,1-6H2,(H,12,13)",25,H29,4.95
C132367807,N-bromobenzenesulfonamide,"InChI=1S/C6H6BrNO2S/c7-8-11(9,10)6-4-2-1-3-5-6/h1-5,8H",25,H17,4.95
C619841,4-(dimethylamino)benzoic acid,"InChI=1S/C9H11NO2/c1-10(2)8-5-3-7(4-6-8)9(11)12/h3-6H,1-2H3,(H,11,12)",25,H23,4.96
C931033,1H-pyrrole-3-carboxylic acid,"InChI=1S/C5H5NO2/c7-5(8)4-1-2-6-3-4/h1-3,6H,(H,7,8)",20,H13,4.98
C70254614,4-hydroxy-6-methylpyran-2-one,"InChI=1S/C6H6O3/c1-4-2-5(7)3-6(8)9-4/h2-3,8H,1H3",20,H15,5.0
C3757537,5-methyl-1H-pyrrole-2-carboxylic acid,"InChI=1S/C6H7NO2/c1-4-2-3-5(7-4)6(8)9/h2-3,7H,1H3,(H,8,9)",,H16,5.0
C595379,"2,2-dimethylbutanoic acid","InChI=1S/C6H12O2/c1-4-6(2,3)5(7)8/h4H2,1-3H3,(H,7,8)",18,H20,5.03
C18303043,tert-butyl N-(4-methylphenyl)sulfonylcarbamate,"InChI=1S/C12H17NO4S/c1-9-5-7-10(8-6-9)18(15,16)13-11(14)17-12(2,3)4/h5-8H,1-4H3,(H,13,14)",25,H28,5.05
C6624200,2-(carbamoylsulfamoyl)acetamide,"InChI=1S/C3H7N3O4S/c4-2(7)1-11(9,10)6-3(5)8/h1H2,(H2,4,7)(H3,5,6,8)",25,H14,5.05
C21247961,methylsulfonylurea,"InChI=1S/C2H6N2O3S/c1-8(6,7)4-2(3)5/h1H3,(H3,3,4,5)",25,H12,5.1
C90724575,3-methyl-1H-pyrrole-2-carboxylic acid,"InChI=1S/C6H7NO2/c1-4-2-3-7-5(4)6(8)9/h2-3,7H,1H3,(H,8,9)",,H16,5.1
C541479,3-methylbut-2-enoic acid,"InChI=1S/C5H8O2/c1-4(2)3-5(6)7/h3H,1-2H3,(H,6,7)",25,H15,5.12
C2268124,8-(trifluoromethyl)-7H-purine,"InChI=1S/C6H3F3N4/c7-6(8,9)5-12-3-1-10-2-11-4(3)13-5/h1-2H,(H,10,11,12,13)",,H14,5.12
C69084011,"3,4,6-trichloro-2-(diethylaminomethyl)phenol","InChI=1S/C11H14Cl3NO/c1-3-15(4-2)6-7-10(14)8(12)5-9(13)11(7)16/h5,16H,3-4,6H2,1-2H3",25,H30,5.13
C3343382,"4-hydroxy-3-(3-methylbutyl)naphthalene-1,2-dione","InChI=1S/C15H16O3/c1-9(2)7-8-12-13(16)10-5-3-4-6-11(10)14(17)15(12)18/h3-6,9,18H,7-8H2,1-2H3",,H34,5.13
C1123257,1-methylcyclohexane-1-carboxylic acid,"InChI=1S/C8H14O2/c1-8(7(9)10)5-3-2-4-6-8/h2-6H2,1H3,(H,9,10)",25,H24,5.13
C114336720,"6-hydroxy-2,2-dimethyl-1,3-dioxin-4-one","InChI=1S/C6H8O4/c1-6(2)9-4(7)3-5(8)10-6/h3,7H,1-2H3",,H18,5.15
C36988213,"3-methyl-2H-1,2,4-thiadiazole-5-thione","InChI=1S/C3H4N2S2/c1-2-4-3(6)7-5-2/h1H3,(H,4,5,6)",25,H8,5.18
C28274579,methaneseleninic acid,"InChI=1S/CH4O2Se/c1-4(2)3/h1H3,(H,2,3)",25,H8,5.19
C3814184,3-nitrobenzenethiol,"InChI=1S/C6H5NO2S/c8-7(9)5-2-1-3-6(10)4-5/h1-4,10H",25,H15,5.24
C132217040,"cyclohexa-3,6-diene-1,3-diol","InChI=1S/C6H8O2/c7-5-2-1-3-6(8)4-5/h2-3,7-8H,1,4H2",25,H15,5.26
C771506,1H-indole-3-carboxylic acid,"InChI=1S/C9H7NO2/c11-9(12)7-5-10-8-4-2-1-3-6(7)8/h1-5,10H,(H,11,12)",24,H19,5.27
C28270691,ethaneseleninic acid,"InChI=1S/C2H6O2Se/c1-2-5(3)4/h2H2,1H3,(H,3,4)",25,H11,5.28
C609712,2-oxo-1H-pyridine-3-carboxylic acid,"InChI=1S/C6H5NO3/c8-5-4(6(9)10)2-1-3-7-5/h1-3H,(H,7,8)(H,9,10)",25,H15,5.28
C64777,1-butyl-3-(4-methylphenyl)sulfonylurea,"InChI=1S/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)",20,H29,5.3
C50607357,3-ethyl-4-hydroxy-6-methylpyran-2-one,"InChI=1S/C8H10O3/c1-3-6-7(9)4-5(2)11-8(6)10/h4,10H,3H2,1-2H3",,H21,5.3
C100047527,5-methyl-1H-pyrrole-3-carboxylic acid,"InChI=1S/C6H7NO2/c1-4-2-5(3-7-4)6(8)9/h2-3,7H,1H3,(H,8,9)",,H16,5.35
C5414915,N-(4-aminophenyl)sulfonylacetamide,"InChI=1S/C8H10N2O3S/c1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)",,H17,5.35
C41434280,"5,5-dimethyl-2-sulfanylidene-1,3-thiazolidin-4-one","InChI=1S/C5H7NOS2/c1-5(2)3(7)6-4(8)9-5/h1-2H3,(H,6,7,8)",20,H16,5.38
C3324763,"3-hydroxycyclohepta-2,4,6-trien-1-one","InChI=1S/C7H6O2/c8-6-3-1-2-4-7(9)5-6/h1-5,8H",16.5,H15,5.4
C99423,methyl 4-hydroxy-3-nitrobenzoate,"InChI=1S/C8H7NO5/c1-14-8(11)5-2-3-7(10)6(4-5)9(12)13/h2-4,10H,1H3",25,H18,5.4
C547444,(4-aminophenyl)sulfonylurea,"InChI=1S/C7H9N3O3S/c8-5-1-3-6(4-2-5)14(12,13)10-7(9)11/h1-4H,8H2,(H3,9,10,11)",,H19,5.41
C79885168,"7-nitroso-1,3-benzothiazol-6-ol","InChI=1S/C7H4N2O2S/c10-5-2-1-4-7(6(5)9-11)12-3-8-4/h1-3,10H",20,H16,5.43
C19013106,ethyl 4-hydroxy-3-nitrobenzoate,"InChI=1S/C9H9NO5/c1-2-15-9(12)6-3-4-8(11)7(5-6)10(13)14/h3-5,11H,2H2,1H3",25,H24,5.44
C3759566,"1,1-dinitropentane","InChI=1S/C5H10N2O4/c1-2-3-4-5(6(8)9)7(10)11/h5H,2-4H2,1H3",,H16,5.45
C144821,"4-amino-N-(5-methyl-1,3,4-thiadiazol-2-yl)benzenesulfonamide","InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)",,H18,5.46
C344755460,diethyl 2-nitrosopropanedioate,"InChI=1S/C7H11NO5/c1-3-12-6(9)5(8-11)7(10)13-4-2/h5H,3-4H2,1-2H3",20.6,H14,5.48
C3722132,2-[(4-nitrophenyl)diazenyl]propanedinitrile,"InChI=1S/C9H5N5O2/c10-5-8(6-11)13-12-7-1-3-9(4-2-7)14(15)16/h1-4,8H",25,H21,5.5
C51855493,5-methyl-2H-tetrazole,"InChI=1S/C2H4N4/c1-2-3-5-6-4-2/h1H3,(H,3,4,5,6)",25,H10,5.52
C50764788,5-ethyl-2H-tetrazole,"InChI=1S/C3H6N4/c1-2-3-4-6-7-5-3/h2H2,1H3,(H,4,5,6,7)",25,H13,5.59
C14389130,5-propyl-2H-tetrazole,"InChI=1S/C4H8N4/c1-2-3-4-5-7-8-6-4/h2-3H2,1H3,(H,5,6,7,8)",25,H16,5.61
C601763,"1,1-dinitropropane","InChI=1S/C3H6N2O4/c1-2-3(4(6)7)5(8)9/h3H,2H2,1H3",25,H10,5.67
C5638846,"5,5-diethyl-1,3-oxazolidine-2,4-dione","InChI=1S/C7H11NO3/c1-3-7(4-2)5(9)8-6(10)11-7/h3-4H2,1-2H3,(H,8,9,10)",20,H22,5.7
C4411727,"N-(1,3-thiazol-2-yl)benzenesulfonamide","InChI=1S/C9H8N2O2S2/c12-15(13,8-4-2-1-3-5-8)11-9-10-6-7-14-9/h1-7H,(H,10,11)",25,H16,5.73
C65538547,2-(diethylaminomethyl)-4-nitrophenol,"InChI=1S/C11H16N2O3/c1-3-12(4-2)8-9-7-10(13(15)16)5-6-11(9)14/h5-7,14H,3-4,8H2,1-2H3",25,H32,5.75
C2219127,2-(1-methylbenzimidazol-2-yl)phenol,"InChI=1S/C14H12N2O/c1-16-12-8-4-3-7-11(12)15-14(16)10-6-2-5-9-13(10)17/h2-9,17H,1H3",25,H29,5.76
C2037312,3-chlorobenzenethiol,"InChI=1S/C6H5ClS/c7-5-2-1-3-6(8)4-5/h1-4,8H",25,H13,5.76
C106536,4-bromobenzenethiol,"InChI=1S/C6H5BrS/c7-5-1-3-6(8)4-2-5/h1-4,8H",40,H13,5.8
C37102480,2-methyl-1H-pyrrole-3-carboxylic acid,"InChI=1S/C6H7NO2/c1-4-5(6(8)9)2-3-7-4/h2-3,7H,1H3,(H,8,9)",,H16,5.8
C6059092,2-[(2-nitrophenyl)diazenyl]propanedinitrile,"InChI=1S/C9H5N5O2/c10-5-7(6-11)12-13-8-3-1-2-4-9(8)14(15)16/h1-4,7H",25,H21,5.8
C106547,4-chlorobenzenethiol,"InChI=1S/C6H5ClS/c7-5-1-3-6(8)4-2-5/h1-4,8H",25,H13,5.82
C6017250,2-[(2-chlorophenyl)diazenyl]propanedinitrile,"InChI=1S/C9H5ClN4/c10-8-3-1-2-4-9(8)14-13-7(5-11)6-12/h1-4,7H",25,H19,5.84
C63176443,2-methyl-1H-indole-3-carboxylic acid,"InChI=1S/C10H9NO2/c1-6-9(10(12)13)7-4-2-3-5-8(7)11-6/h2-5,11H,1H3,(H,12,13)",25,H22,5.89
C57531381,4-chloro-5-nitro-1H-imidazole,"InChI=1S/C3H2ClN3O2/c4-2-3(7(8)9)6-1-5-2/h1H,(H,5,6)",25,H10,5.9
C81991379,"2-sulfanylcyclohepta-2,4,6-trien-1-one","InChI=1S/C7H6OS/c8-6-4-2-1-3-5-7(6)9/h1-5H,(H,8,9)",25,H15,5.9
C5422457,"N,N-dimethyl-2H-tetrazol-5-amine","InChI=1S/C3H7N5/c1-8(2)3-4-6-7-5-3/h1-2H3,(H,4,5,6,7)",25,H15,5.92
C5378494,2H-tetrazol-5-amine,"InChI=1S/CH3N5/c2-1-3-5-6-4-1/h(H3,2,3,4,5,6)",20,H7,5.98
C4462435,"4-amino-N-(4,5-dimethylpyrimidin-2-yl)benzenesulfonamide","InChI=1S/C12H14N4O2S/c1-8-7-14-12(15-9(8)2)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",25,H20,6.0
C959320,benzamido benzoate,"InChI=1S/C14H11NO3/c16-13(11-7-3-1-4-8-11)15-18-14(17)12-9-5-2-6-10-12/h1-10H,(H,15,16)",,H29,6.0
C52387527,"5-ethyl-5-methyl-1,3-oxazolidine-2,4-dione","InChI=1S/C6H9NO3/c1-3-6(2)4(8)7-5(9)10-6/h3H2,1-2H3,(H,7,8,9)",24,H19,6.0
C3720534,2-[(3-chlorophenyl)diazenyl]propanedinitrile,"InChI=1S/C9H5ClN4/c10-7-2-1-3-8(4-7)13-14-9(5-11)6-12/h1-4,9H",25,H19,6.0
C515548,"4-hydroxy-N-(1,3-thiazol-2-yl)benzenesulfonamide","InChI=1S/C9H8N2O3S2/c12-7-1-3-8(4-2-7)16(13,14)11-9-10-5-6-15-9/h1-6,12H,(H,10,11)",25,H17,6.0
C116449,4-amino-N-pyrazin-2-ylbenzenesulfonamide,"InChI=1S/C10H10N4O2S/c11-8-1-3-9(4-2-8)17(15,16)14-10-7-12-5-6-13-10/h1-7H,11H2,(H,13,14)",,H20,6.04
C53010030,N-methyl-2H-tetrazol-5-amine,"InChI=1S/C2H5N5/c1-3-2-4-6-7-5-2/h1H3,(H2,3,4,5,6,7)",25,H12,6.06
C90146013,"3-(1,3-benzoxazol-2-yl)-7-hydroxy-2-oxochromene-4-carbonitrile","InChI=1S/C17H8N2O4/c18-8-11-10-6-5-9(20)7-14(10)23-17(21)15(11)16-19-12-3-1-2-4-13(12)22-16/h1-7,20H",22,H31,6.07
C1126814,N-(4-sulfanylphenyl)acetamide,"InChI=1S/C8H9NOS/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",25,H20,6.08
C19492025,6-chloro-7-hydroxy-4-methylchromen-2-one,"InChI=1S/C10H7ClO3/c1-5-2-10(13)14-9-4-8(12)7(11)3-6(5)9/h2-4,12H,1H3",25,H21,6.1
C60027818,2-(cinnamylideneamino)benzoic acid,"InChI=1S/C16H13NO2/c18-16(19)14-10-4-5-11-15(14)17-12-6-9-13-7-2-1-3-8-13/h1-12H,(H,18,19)",25,H32,6.12
C933755,"2,3,6-trichlorophenol","InChI=1S/C6H3Cl3O/c7-3-1-2-4(8)6(10)5(3)9/h1-2,10H",25,H13,6.12
C3229401,"2-hydroxyisoindole-1,3-dione","InChI=1S/C8H5NO3/c10-7-5-3-1-2-4-6(5)8(11)9(7)12/h1-4,12H",26,H17,6.13
C695534,"5,5-dimethyl-1,3-oxazolidine-2,4-dione","InChI=1S/C5H7NO3/c1-5(2)3(7)6-4(8)9-5/h1-2H3,(H,6,7,8)",24,H16,6.15
C142044471,7-hydroxychromen-2-one,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",20,H18,6.18
C637627,4-nitrosophenol,"InChI=1S/C6H5NO2/c8-6-3-1-5(7-9)2-4-6/h1-4,8H",23,H14,6.2
C91746291,"8,9-dimethyl-3H-purine-2,6-dione","InChI=1S/C7H8N4O2/c1-3-8-4-5(11(3)2)9-7(13)10-6(4)12/h1-2H3,(H2,9,10,12,13)",20,H21,6.2
C7310954,"2-hydroxy-5-methylbenzene-1,3-dicarbaldehyde","InChI=1S/C9H8O3/c1-6-2-7(4-10)9(12)8(3-6)5-11/h2-5,12H,1H3",26.9,H20,6.2
C29982794,"5-benzylsulfonyl-1H-1,2,4-triazole","InChI=1S/C9H9N3O2S/c13-15(14,9-10-7-11-12-9)6-8-4-2-1-3-5-8/h1-5,7H,6H2,(H,10,11,12)",23,H20,6.23
C2753744,"5-ethyl-5-phenyl-2-sulfanylidene-1,3-diazinane-4,6-dione","InChI=1S/C12H12N2O2S/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h3-7H,2H2,1H3,(H2,13,14,15,16,17)",,H24,6.3
C33073017,"1,9-dimethyl-3H-purine-2,6-dione","InChI=1S/C7H8N4O2/c1-10-3-8-4-5(10)9-7(13)11(2)6(4)12/h3H,1-2H3,(H,9,13)",18,H14,6.3
C4892028,methyl 2-sulfanylbenzoate,"InChI=1S/C8H8O2S/c1-10-8(9)6-4-2-3-5-7(6)11/h2-5,11H,1H3",25,H16,6.3
C3172007,"5-bromo-2-hydroxycyclohepta-2,4,6-trien-1-one","InChI=1S/C7H5BrO2/c8-5-1-3-6(9)7(10)4-2-5/h1-4H,(H,9,10)",25,H15,6.32
C5684128,"2,6-bis[(dimethylamino)methyl]-4-methoxyphenol","InChI=1S/C13H22N2O2/c1-14(2)8-10-6-12(17-5)7-11(13(10)16)9-15(3)4/h6-7,16H,8-9H2,1-5H3",25,H36,6.33
C66907695,"N,N-diethyl-2H-tetrazol-5-amine","InChI=1S/C5H11N5/c1-3-10(4-2)5-6-8-9-7-5/h3-4H2,1-2H3,(H,6,7,8,9)",25,H21,6.33
C1127135,4-hydroxybicyclo[2.2.2]octane-1-carboxylic acid,"InChI=1S/C9H14O3/c10-7(11)8-1-4-9(12,5-2-8)6-3-8/h12H,1-6H2,(H,10,11)",25,H26,6.33
C421852,trifluoromethanesulfonamide,"InChI=1S/CH2F3NO2S/c2-1(3,4)8(5,6)7/h(H2,5,6,7)",25,H10,6.33
C371426,4-fluorobenzenethiol,"InChI=1S/C6H5FS/c7-5-1-3-6(8)4-2-5/h1-4,8H",32,H13,6.35
C16528577,benzenethiol,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H",23,H13,6.37
C89295625,"5,5-dipropyl-1,3-thiazolidine-2,4-dione","InChI=1S/C9H15NO2S/c1-3-5-9(6-4-2)7(11)10-8(12)13-9/h3-6H2,1-2H3,(H,10,11,12)",20,H22,6.37
C89814642,N-(2-methylpropyl)nitramide,"InChI=1S/C4H10N2O2/c1-4(2)3-5-6(7)8/h4-5H,3H2,1-2H3",25,H18,6.38
C19091986,N-ethylnitramide,"InChI=1S/C2H6N2O2/c1-2-3-4(5)6/h3H,2H2,1H3",25,H12,6.39
C8050097,"1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylic acid","InChI=1S/C20H30O2/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h7,12-13,16-17H,5-6,8-11H2,1-4H3,(H,21,22)",20,H46,6.4
C141582641,4-amino-N-pyrimidin-2-ylbenzenesulfonamide,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",24,H20,6.42
C32857117,"2,6-bis[(dimethylamino)methyl]-4-methylphenol","InChI=1S/C13H22N2O/c1-10-6-11(8-14(2)3)13(16)12(7-10)9-15(4)5/h6-7,16H,8-9H2,1-5H3",25,H38,6.45
C627076,N-propylnitramide,"InChI=1S/C3H8N2O2/c1-2-3-4-5(6)7/h4H,2-3H2,1H3",25,H15,6.47
C106456,4-methylbenzenethiol,"InChI=1S/C7H8S/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",25,H16,6.47
C162382538,"2-sulfanylidene-1,3-thiazolidin-4-one","InChI=1S/C3H3NOS2/c5-2-1-7-3(6)4-2/h1H2,(H,4,5,6)",25,H10,6.48
C3056039,quinoline-5-thiol,"InChI=1S/C9H7NS/c11-9-5-1-4-8-7(9)3-2-6-10-8/h1-6,11H",20,H18,6.48
C577479,1-benzoyl-2-sulfanylideneimidazolidin-4-one,"InChI=1S/C10H8N2O2S/c13-8-6-12(10(15)11-8)9(14)7-4-2-1-3-5-7/h1-5H,6H2,(H,11,13,15)",25,H18,6.5
C92615,7-hydroxy-6-methoxychromen-2-one,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",20,H19,6.5
C35869740,"4-hydroxy-3,5-dimethyl-1,2,4-triazole","InChI=1S/C4H7N3O/c1-3-5-6-4(2)7(3)8/h8H,1-2H3",25,H15,6.5
C100653596,quinoline-6-thiol,"InChI=1S/C9H7NS/c11-8-3-4-9-7(6-8)2-1-5-10-9/h1-6,11H",20,H18,6.5
C29342389,1-nitro-4-(1-nitroethyl)benzene,"InChI=1S/C8H8N2O4/c1-6(9(11)12)7-2-4-8(5-3-7)10(13)14/h2-6H,1H3",25,H15,6.51
C62772978,"1,1,1-trifluoro-2-hydroxy-6-methylhept-2-en-4-one","InChI=1S/C8H11F3O2/c1-5(2)3-6(12)4-7(13)8(9,10)11/h4-5,13H,3H2,1-2H3",25,H24,6.52
C2295310,"1,3-thiazolidine-2,4-dione","InChI=1S/C3H3NO2S/c5-2-1-7-3(6)4-2/h1H2,(H,4,5,6)",22,H10,6.54
C1350653314,2-phenyldiazenylpropanedinitrile,"InChI=1S/C9H6N4/c10-6-9(7-11)13-12-8-4-2-1-3-5-8/h1-5,9H",25,H19,6.55
C127797,4-amino-N-(4-methylpyrimidin-2-yl)benzenesulfonamide,"InChI=1S/C11H12N4O2S/c1-8-6-7-13-11(14-8)15-18(16,17)10-4-2-9(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)",24,H19,6.59
C59779258,"2,6-dibromophenol","InChI=1S/C6H4Br2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",25,H13,6.6
C94650949,2-chloro-4-hydroxybenzaldehyde,"InChI=1S/C7H5ClO2/c8-7-3-6(10)2-1-5(7)4-9/h1-4,10H",25,H15,6.6
